Title,Description,Scrappé - SN Has Paid Placement,Post Url,Post Type,Scrappé - SN Brand,View Count,DA - Key Account,DA - Manuel Collab Brand,DA - LookUp - Social Network,Problème (from Data Admin - Brand),Category (from Data Admin - Brand),Manuel - Annotation Checked,Script - Annotation Checked,Manuel - Collab Commerciale,Manuel - Autres marques,Script - Collab Commerciale,Script - Autres marques,Chosen Post
"TOUT À 0€ !!! Profitez en ! @Temu code : dws4696 ! Livraison gratuite ❤️ #temu #temufinds #idrissetsirayah #collaborationcommerciale #devinelapersonne ","TOUT À 0€ !!! Profitez en ! @Temu code : dws4696 ! Livraison gratuite ❤️ #temu #temufinds #idrissetsirayah #collaborationcommerciale #devinelapersonne ",true,https://www.tiktok.com/@sirayah6/video/7478400634258017558,video,,8300000,sirayah6,TEMU,tiktok,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,,None,,false
j’adore manger mes cookies préférés pendant ma période préférée 🍪🎄✨ et encore plus quand je les prépare en moins de 15 min ! @Alsa #alsafrance - collaboration commerciale,j’adore manger mes cookies préférés pendant ma période préférée 🍪🎄✨ et encore plus quand je les prépare en moins de 15 min ! @Alsa #alsafrance - collaboration commerciale,true,https://www.tiktok.com/@rose.thr/video/7584860574706683158,video,,3200000,rose.thr,ALSA,tiktok,,FOOD,false,,None,,None,,false
"🎂15: faire les piercings dont je rêve depuis 2 ans ! Je suis allée chez ! @Nébuleuse Bijoux pour faire mes 3 nouveaux piercings et refaire toute la compo de mes oreilles ✨🎀 Team or, team argent… ou les deux comme moi ? 👀 -publicité","🎂15: faire les piercings dont je rêve depuis 2 ans !
Je suis allée chez ! @Nébuleuse Bijoux pour faire mes 3 nouveaux piercings et refaire toute la compo de mes oreilles ✨🎀
Team or, team argent… ou les deux comme moi ? 👀
-publicité",true,https://www.tiktok.com/@rose.thr/video/7536529978075204886,video,,6700000,rose.thr,Nébuleuse Bijoux,tiktok,,Accessoires,false,,None,,None,,false
"🌴 La dernière fille a trouvé la bonne saveur ! Et toi, saurais-tu reconnaître si c’est Tropical, Ananas ou la toute nouvelle mini Mallow ? 🌀 Rejoins le #TwisterChallenge #collaborationcommerciale @miko_glaces  ","🌴 La dernière fille a trouvé la bonne saveur !
Et toi, saurais-tu reconnaître si c’est Tropical, Ananas ou la toute nouvelle mini Mallow ?
🌀 Rejoins le #TwisterChallenge #collaborationcommerciale @miko_glaces  ",true,https://www.tiktok.com/@yescyrille/video/7542511200324554006,video,,9300000,yescyrille,MIKO,tiktok,,FOOD,false,,None,,None,,false
"Publicité Avec Tapo ma maison est connectée et la vie est tellement plus simple au quotidien. Vous pouvez acheter les articles présentés par @TP-Link France sur @amazon.fr (lien dans ma bio) #Tapo #techmaison #ConfortMaison #ideesmaison #AstuceTech ","Publicité Avec Tapo ma maison est connectée et la vie est tellement plus simple au quotidien. Vous pouvez acheter les articles présentés par @TP-Link France sur @amazon.fr (lien dans ma bio) #Tapo #techmaison #ConfortMaison #ideesmaison #AstuceTech ",true,https://www.tiktok.com/@adorfamilly/video/7589715376531868950,video,,12100000,adorfamilly,TAPO,tiktok,,HOME,false,,None,,None,,false
"Temu Haul 0€💘: Tapez mon code ✨dwm3847✨ et profitez d’articles à 0€ 🔗dans ma bio (uniquement pour les nouveaux utilisateurs de l’application avec commande éligible) #publicite ","Temu Haul 0€💘: Tapez mon code ✨dwm3847✨ et profitez d’articles à 0€ 🔗dans ma bio
(uniquement pour les nouveaux utilisateurs de l’application avec commande éligible) #publicite ",true,https://www.tiktok.com/@adorfamilly/video/7482066675056217366,video,,4100000,adorfamilly,TEMU,tiktok,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,,None,,false
"Il est où le facteur 🤣 Code : dxq8222 (offre réservée aux nouveaux utilisateurs avec des commandes éligibles) #temufrance #temucode ","Il est où le facteur 🤣
Code : dxq8222 (offre réservée aux nouveaux utilisateurs avec des commandes éligibles)
#temufrance #temucode ",true,https://www.tiktok.com/@sayan.off/video/7571870755835612438,video,,3100000,sayan.off,TEMU,tiktok,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,,None,,false
Elle a tout dévalisé la daronne 🤣🤦🏽‍♂️  📢 Code 0€ : dws3725 Offres exclus nouveaux utilisateurs de l'appli sur commande éligible (un montant minimum d'achat) 🔍Tape le code sur #Temu ou via le lien en bio 🔗,"Elle a tout dévalisé la daronne 🤣🤦🏽‍♂️ 
📢 Code 0€ : dws3725
Offres exclus nouveaux utilisateurs de l'appli sur commande éligible (un montant minimum d'achat)
🔍Tape le code sur #Temu ou via le lien en bio 🔗",true,https://www.tiktok.com/@sayan.off/video/7482817667376663830,video,,6300000,sayan.off,TEMU,tiktok,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,,None,,false
"*publicité | Eliminer un bouton sans le toucher, de façon invisible, sans douleur avec les Pimple Patch @Garnier #garnierskincare","*publicité | Eliminer un bouton sans le toucher, de façon invisible, sans douleur avec les Pimple Patch @Garnier #garnierskincare",true,https://www.tiktok.com/@maelplat/video/7566690517405289750,video,,3900000,maelplat,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Publicité I Aujourd'hui, je fais la coloration de ma belle-mère : alors mission coloration réussie ? Verdict : GOOD de chez @Garnier , c’est vraiment aussi simple qu’on le dit ! #GarnierHaircare #GarnierFr #GarnierGOOD","Publicité I Aujourd'hui, je fais la coloration de ma belle-mère : alors mission coloration réussie ? Verdict : GOOD de chez @Garnier , c’est vraiment aussi simple qu’on le dit ! #GarnierHaircare #GarnierFr #GarnierGOOD",true,https://www.tiktok.com/@maelplat/video/7478768100645571862,video,,5100000,maelplat,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
Je prolonge jusqu’au 19 décembre 🤭❤️,Je prolonge jusqu’au 19 décembre 🤭❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7574536953853414678,video,,5700000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Voici ma vraie voix… 😂❤️,Voici ma vraie voix… 😂❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7571515321765367062,video,,6600000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Résultat… 😂,Résultat… 😂,false,https://www.tiktok.com/@benoit_chevalier/video/7566675167427054870,video,,5300000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Kayliah se marie 🥹❤️,Kayliah se marie 🥹❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7563609893324868886,video,,4800000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Tension à la Villa 😬😭,Tension à la Villa 😬😭,false,https://www.tiktok.com/@benoit_chevalier/video/7552958153810283798,video,,6400000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Unboxing iPhone 17 Pro Max ❤️,Unboxing iPhone 17 Pro Max ❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7551838405110435074,video,,5100000,benoit_chevalier,-,tiktok,,,false,,None,Apple,None,,false
Je suis le 1 er du monde à l’avoir 😂❤️,Je suis le 1 er du monde à l’avoir 😂❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7551798791549095190,video,,5800000,benoit_chevalier,-,tiktok,,,false,,None,Apple,None,,false
Prenez soin de vos maman ❤️ @Charlaprestige prestation offerte,Prenez soin de vos maman ❤️ @Charlaprestige prestation offerte,false,https://www.tiktok.com/@benoit_chevalier/video/7548909218103905558,video,,1200000,benoit_chevalier,Charlaprestige,tiktok,,Cosmétiques / esthétique,true,,Charlaprestige,,None,,true
,,false,https://www.tiktok.com/@benoit_chevalier/video/7535886458607897878,video,,4200000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
À votre avis c’est qui.. 🥹❤️,À votre avis c’est qui.. 🥹❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7531110515502861590,video,,7600000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Dame un grr 😂,Dame un grr 😂,false,https://www.tiktok.com/@benoit_chevalier/video/7531052640310971670,video,,5000000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Résultat des cheveux bruns de Loukaki 😂❤️,Résultat des cheveux bruns de Loukaki 😂❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7530352805224205590,video,,4900000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
"Je colore les cheveux de Loukaki en noir 😂❤️ @✨Loukaki24✨ ","Je colore les cheveux de Loukaki en noir 😂❤️ @✨Loukaki24✨ ",false,https://www.tiktok.com/@benoit_chevalier/video/7530322960024980758,video,,5300000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Mehdi pour toujours dans nos cœurs ❤️🕊️,Mehdi pour toujours dans nos cœurs ❤️🕊️,false,https://www.tiktok.com/@benoit_chevalier/video/7528852472929078550,video,,8100000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Résultat de mes mèches de cheveux comme Lamine Yamal 😂❤️,Résultat de mes mèches de cheveux comme Lamine Yamal 😂❤️,false,https://www.tiktok.com/@benoit_chevalier/video/7514705415297387798,video,,5300000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
"Salut moi c’est Zyad.. Euh Yousra pardon 😂 @zyadidn ","Salut moi c’est Zyad.. Euh Yousra pardon 😂 @zyadidn ",false,https://www.tiktok.com/@benoit_chevalier/video/7502540890162875670,video,,4900000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
J’espère manger cette burrata sans qu’on attrape ma veste 😥😅,J’espère manger cette burrata sans qu’on attrape ma veste 😥😅,false,https://www.tiktok.com/@benoit_chevalier/video/7500293752771120406,video,,10000000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
Mon ex me livre ma commande 😱😭,Mon ex me livre ma commande 😱😭,false,https://www.tiktok.com/@benoit_chevalier/video/7496945045178912002,video,,4200000,benoit_chevalier,-,tiktok,,,false,,None,Uber Eats,None,,false
"J’ai cru devoir détruire ma maison.. 😭💔 @King construction paca ","J’ai cru devoir détruire ma maison.. 😭💔 @King construction paca ",false,https://www.tiktok.com/@benoit_chevalier/video/7467603197129919767,video,,4200000,benoit_chevalier,-,tiktok,,,false,,None,"King construction paca ",None,,false
Vidéo prévention puff 100k je suis choqué de ce qu’il y’a à l’intérieur 😱🙏,Vidéo prévention puff 100k je suis choqué de ce qu’il y’a à l’intérieur 😱🙏,false,https://www.tiktok.com/@benoit_chevalier/video/7466844081512140054,video,,4800000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
"C’est aberrant ","C’est aberrant ",false,https://www.tiktok.com/@gmk/video/7589159996714388738,video,,5700000,gmk,-,tiktok,,,false,,None,,None,,false
"Aberrant ","Aberrant ",false,https://www.tiktok.com/@gmk/video/7588391771952925974,video,,5000000,gmk,-,tiktok,,,false,,None,,None,,false
@Inoxleshinobi et moi vous souhaitons de joyeuses fêtes de fin d’année ❤️,@Inoxleshinobi et moi vous souhaitons de joyeuses fêtes de fin d’année ❤️,false,https://www.tiktok.com/@gmk/video/7588222158011174166,video,,6100000,gmk,-,tiktok,,,false,,None,,None,,false
Le pire date 😂,Le pire date 😂,false,https://www.tiktok.com/@gmk/video/7587478243444313366,video,,4100000,gmk,-,tiktok,,,false,,None,,None,,false
"Aberrant la pista ","Aberrant la pista ",false,https://www.tiktok.com/@gmk/video/7587429044438781206,video,,6700000,gmk,-,tiktok,,,false,,None,,None,,false
Enorme surprise 😍,Enorme surprise 😍,false,https://www.tiktok.com/@gmk/video/7542145563349749014,video,,5700000,gmk,-,tiktok,,,false,,None,,None,,false
J’aurai jamais cru faire ça un jour 🤪🤪,J’aurai jamais cru faire ça un jour 🤪🤪,false,https://www.tiktok.com/@gmk/video/7516094479523220758,video,,4500000,gmk,-,tiktok,,,false,,None,,None,,false
"WOW ","WOW ",false,https://www.tiktok.com/@gmk/video/7512127603726109974,video,,8800000,gmk,-,tiktok,,,false,,None,BMW,None,,false
Pour gagner abonnez-vous aussi à @gmk et @TRANSAKAUTO💨 ❤️,Pour gagner abonnez-vous aussi à @gmk et @TRANSAKAUTO💨 ❤️,false,https://www.tiktok.com/@gmk/video/7508408754342350102,video,,4300000,gmk,-,tiktok,,,false,,None,,None,,false
"Miteuse volaille ","Miteuse volaille ",false,https://www.tiktok.com/@gmk/video/7503959362470300950,video,,10400000,gmk,-,tiktok,,,false,,None,,None,,false
"J’ai tout cassé ","J’ai tout cassé ",false,https://www.tiktok.com/@gmk/video/7493858342964563222,video,,6800000,gmk,-,tiktok,,,false,,None,,None,,false
Aberrant 😂,Aberrant 😂,false,https://www.tiktok.com/@gmk/video/7483524879510244630,video,,4400000,gmk,-,tiktok,,,false,,None,,None,,false
😂😂😂😂,😂😂😂😂,false,https://www.tiktok.com/@gmk/video/7483939759245643030,video,,7300000,gmk,-,tiktok,,,false,,None,,None,,false
,,false,https://www.tiktok.com/@gmk/video/7479750840367123735,video,,4100000,gmk,-,tiktok,,,false,,None,,None,,false
😡😡😡😡😡,😡😡😡😡😡,false,https://www.tiktok.com/@gmk/video/7477897551161658646,video,,5000000,gmk,-,tiktok,,,false,,None,,None,,false
Ma nouvelle RS6 @ABT Sportsline créé par @Daniel Abt 😈,Ma nouvelle RS6 @ABT Sportsline créé par @Daniel Abt 😈,false,https://www.tiktok.com/@gmk/video/7477171450483363094,video,,8100000,gmk,-,tiktok,,,false,,None,ABT Sportsline,None,,false
"Aberrant ","Aberrant ",false,https://www.tiktok.com/@gmk/video/7471721977934253334,video,,4900000,gmk,-,tiktok,,,false,,None,,None,,false
"bring back 2017  @tarte cosmetics invitation   ","bring back 2017
 @tarte cosmetics invitation   ",false,https://www.tiktok.com/@lenasituations/video/7583385980418149654,video,,4400000,lenasituations,-,tiktok,,,false,,None,TARTE,None,,false
"Rihanna sur mon podcast COUH ! Listen everywhereeeee 🎤 @COUCH by Lena Situations @Fenty Beauty invitation - NON rémunérée ","Rihanna sur mon podcast COUH ! Listen everywhereeeee 🎤 @COUCH by Lena Situations @Fenty Beauty invitation - NON rémunérée ",false,https://www.tiktok.com/@lenasituations/video/7564861882759154966,video,,4600000,lenasituations,-,tiktok,,,false,,None,"Fenty Beauty ",None,,false
GRWM pour une soirée All is Fair + anniversaire 🎂 je porte @Carolina Herrera en mode et au parfum ! ;) collaboration commerciale #goodgirlcarolinaherrera,GRWM pour une soirée All is Fair + anniversaire 🎂 je porte @Carolina Herrera en mode et au parfum ! ;) collaboration commerciale #goodgirlcarolinaherrera,false,https://www.tiktok.com/@lenasituations/video/7564449862549343510,video,,2200000,lenasituations,Carolina Herrera,tiktok,,Vêtements,false,,None,,None,,false
"vous aussi vous avez ça ? 🍳🍳  Le soutien gorge c’est le Natural Lifting Bra de @Tezenis 👙 #tezenis #NaturalLifting collaboration commerciale ","vous aussi vous avez ça ? 🍳🍳 
Le soutien gorge c’est le Natural Lifting Bra de @Tezenis 👙
#tezenis #NaturalLifting collaboration commerciale ",false,https://www.tiktok.com/@lenasituations/video/7551510998629240086,video,,1800000,lenasituations,Tezenis,tiktok,,Vêtements,false,,None,,None,,false
"vous faites quoi cet été ? 🌞 #teamsituations @The Ordinary le sérum filtres UV SPF45 est validé !   collaboration commerciale #suntok #skincare #theordinary ","vous faites quoi cet été ? 🌞 #teamsituations @The Ordinary le sérum filtres UV SPF45 est validé !  
collaboration commerciale

#suntok #skincare #theordinary ",false,https://www.tiktok.com/@lenasituations/video/7513227933847276822,video,,365400,lenasituations,"The Ordinary ",tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"on fait un Keeping up with The Situations à Cannes ? ✨ @Chopard #Chopard #ChopardLovesCinema #TheRedCarpetJeweller collaboration commerciale invitation ","on fait un Keeping up with The Situations à Cannes ? ✨
@Chopard #Chopard #ChopardLovesCinema #TheRedCarpetJeweller collaboration commerciale invitation ",false,https://www.tiktok.com/@lenasituations/video/7506490503131647254,video,,752300,lenasituations,Chopard,tiktok,,Accessoires,false,,None,,None,,false
"look mom, I’m at the Oscars !  #oscars #teamsituations ","look mom, I’m at the Oscars ! 
#oscars #teamsituations ",false,https://www.tiktok.com/@lenasituations/video/7477381147547225366,video,,6400000,lenasituations,-,tiktok,,,false,,None,,None,,false
"3h du matin à Paris ","3h du matin à Paris ",false,https://www.tiktok.com/@lenasituations/video/7475015530525625622,video,,5600000,lenasituations,-,tiktok,,,false,,None,,None,,false
"the duo you didn’t know you needed.  🤭 @JENNIE #lovehangover #teamsituations ","the duo you didn’t know you needed.  🤭 @JENNIE #lovehangover #teamsituations ",false,https://www.tiktok.com/@lenasituations/video/7466910682215238934,video,,4700000,lenasituations,-,tiktok,,,false,,None,,None,,false
"option 1 ou option 2 ??? #trippinwithtarte #teamsituations @tarte cosmetics invitation ","option 1 ou option 2 ??? #trippinwithtarte #teamsituations @tarte cosmetics invitation ",false,https://www.tiktok.com/@lenasituations/video/7460175711148461334,video,,4700000,lenasituations,-,tiktok,,,false,,None,TARTE,None,,false
Im not Kris Jenner but I also choose @maccosmetics  Collaboration commerciale  #maccosmeticsfrance #macstudiomoment #ionlywearmac,"Im not Kris Jenner but I also choose @maccosmetics 
Collaboration commerciale 
#maccosmeticsfrance
#macstudiomoment
#ionlywearmac",false,https://www.tiktok.com/@fabiancrfx/video/7564008612243311894,video,,238800,fabiancrfx,MAC Cosmetics,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Le pop up à ne pas manquer pour découvrir la nouvelle gamme Glow Énergie de @Yves Rocher France et surtout avoir des produits offerts !!  📍Centre commercial Westfield les 4 temps 92092 Puteaux 10h-19h Collaboration commerciale rémunérée ","Le pop up à ne pas manquer pour découvrir la nouvelle gamme Glow Énergie de @Yves Rocher France et surtout avoir des produits offerts !! 
📍Centre commercial Westfield les 4 temps 92092 Puteaux 10h-19h

Collaboration commerciale rémunérée ",false,https://www.tiktok.com/@fabiancrfx/video/7552111673000070422,video,,896800,fabiancrfx,Yves Rocher,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
Sa réaction 😂😂,Sa réaction 😂😂,false,https://www.tiktok.com/@justt__zizouu/video/7581591735378431254,video,,4800000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
J’ai raison en vrai non 💔,J’ai raison en vrai non 💔,false,https://www.tiktok.com/@justt__zizouu/video/7580811058084924694,video,,8100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
La fin 😱,La fin 😱,false,https://www.tiktok.com/@justt__zizouu/video/7580501354423110934,video,,5800000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Boom ","Boom ",false,https://www.tiktok.com/@justt__zizouu/video/7569337678563446038,video,,11500000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Parfois, il faut se perdre pour mieux se retrouver. Après six mois de silence et de distance, nous avons compris que notre évidence, c'était l'autre. Les séparations révèlent souvent la valeur des liens les plus profonds... et aujourd'hui, c'est main dans la main que nous reprenons notre histoire, le cœur plus sûr que jamais ❤️","Parfois, il faut se perdre pour mieux se retrouver.
Après six mois de silence et de distance, nous avons compris que notre évidence, c'était l'autre. Les séparations révèlent souvent la valeur des liens les plus profonds... et aujourd'hui, c'est main dans la main que nous reprenons notre histoire, le cœur plus sûr que jamais ❤️",false,https://www.tiktok.com/@justt__zizouu/video/7547768155658095894,video,,4100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
Elle me manque tellement ❤️,Elle me manque tellement ❤️,false,https://www.tiktok.com/@justt__zizouu/video/7532945457102736662,video,,4200000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
2022 me manque tellement 💔,2022 me manque tellement 💔,false,https://www.tiktok.com/@justt__zizouu/video/7526644783062813974,video,,4400000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Elle aime trop son cadeau 😍 code promo 20 % : GLOW valable sur le site et en boutique @APARANJAN_PARIS  COLLABORATION COMMERCIAL ","Elle aime trop son cadeau 😍 code promo 20 % : GLOW valable sur le site et en boutique @APARANJAN_PARIS 

COLLABORATION COMMERCIAL ",false,https://www.tiktok.com/@justt__zizouu/video/7524424668833467670,video,,619500,justt__zizouu,APARANJAN_PARIS,tiktok,,Accessoires,false,,None,,None,,false
"Plus de retour en arrière, je garde ma dignité 💪🏽 @Clinique des Champs Élysées ⚜️ ( partage d’expériences personnelles ) ","Plus de retour en arrière, je garde ma dignité 💪🏽 @Clinique des Champs Élysées ⚜️ ( partage d’expériences personnelles ) ",false,https://www.tiktok.com/@justt__zizouu/video/7501398547867192598,video,,4600000,justt__zizouu,-,tiktok,,,false,,None,Clinique des Champs Élysées,None,,false
"Je crois que c’est le plus beau jour de sa vie ❤️ @Karline ","Je crois que c’est le plus beau jour de sa vie ❤️ @Karline ",false,https://www.tiktok.com/@justt__zizouu/video/7498064466228055318,video,,4200000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
Je me suis bien afficher ☠️ qui est célibataire comme moi 🤣,Je me suis bien afficher ☠️ qui est célibataire comme moi 🤣,false,https://www.tiktok.com/@justt__zizouu/video/7496943684009610518,video,,4700000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
@Melanightt ⭐️ ❤️,@Melanightt ⭐️ ❤️,false,https://www.tiktok.com/@justt__zizouu/video/7496208776232520982,video,,4300000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Je lui souhaite le meilleur fin du chapitre ","Je lui souhaite le meilleur fin du chapitre ",false,https://www.tiktok.com/@justt__zizouu/video/7495836849773104406,video,,9100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"J’essaye pas de la faire revenir car cette fois elle ne reviendra pas, juste c’est dure d’effacer 4 ans de ma vie 😓","J’essaye pas de la faire revenir car cette fois elle ne reviendra pas, juste c’est dure d’effacer 4 ans de ma vie 😓",false,https://www.tiktok.com/@justt__zizouu/video/7495797676789878038,video,,5900000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"J’aurais tellement aimé que ce soit un jeu d’acteur mais cette fois ces vrai elle a fait ses choix ","J’aurais tellement aimé que ce soit un jeu d’acteur mais cette fois ces vrai elle a fait ses choix ",false,https://www.tiktok.com/@justt__zizouu/video/7495436928569937174,video,,12100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
💔,💔,false,https://www.tiktok.com/@justt__zizouu/video/7485430561494797591,video,,4800000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
Sa réaction 😭,Sa réaction 😭,false,https://www.tiktok.com/@justt__zizouu/video/7472505887282826518,video,,7100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"This hair color is 100% halal 😳 @Fantazia Concept #hair #asmr #humour #drole #hairstyle ","This hair color is 100% halal 😳 @Fantazia Concept #hair #asmr #humour #drole #hairstyle ",false,https://www.tiktok.com/@cilia.ghass/video/7588617348857351427,video,,5300000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
"A hair straightening? YES ma’am 😳 don’t ask me twice @kab #longhair #lissage #straight #hairstyle #hair ","A hair straightening? YES ma’am 😳 don’t ask me twice @kab #longhair #lissage #straight #hairstyle #hair ",false,https://www.tiktok.com/@cilia.ghass/video/7588254174517710102,video,,4400000,cilia.ghass,-,tiktok,,,false,,None,INIYA,None,,false
"That’s how you make curls, ladies 😳 @SHEGLAM HAIR US @SHEGLAM  ℹ️ Recherchez « Sheglam Hair » sur SHEGLAM.com ou Amazon pour trouver le produit  ℹ️ Search for ‘Sheglam Hair’ on SHEGLAM.com or Amazon to find the product  #sheglam #sheglamhair #sheglamitcurl  - Collaboration ","That’s how you make curls, ladies 😳 @SHEGLAM HAIR US @SHEGLAM 

ℹ️ Recherchez « Sheglam Hair » sur SHEGLAM.com ou Amazon pour trouver le produit 
ℹ️ Search for ‘Sheglam Hair’ on SHEGLAM.com or Amazon to find the product 

#sheglam #sheglamhair #sheglamitcurl 

- Collaboration ",false,https://www.tiktok.com/@cilia.ghass/video/7586755030661877014,video,,1100000,cilia.ghass,"SHEGLAM ",tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"I was this close 🤡 to giving her an Indian straightening… @miraa her hair is smoother and longer than mine 😳   #straight #blowout #curly #asmr #hairstyle ","I was this close 🤡 to giving her an Indian straightening… @miraa her hair is smoother and longer than mine 😳  
#straight #blowout #curly #asmr #hairstyle ",false,https://www.tiktok.com/@cilia.ghass/video/7583428829637594390,video,,13900000,cilia.ghass,-,tiktok,,,false,,None,INIYA,None,,false
"Quick, efficient nails 🧐 This is how you do a perfect French ☺️ #nailsartvideos #asmr #tutorials #gelxnails #nailsart ","Quick, efficient nails 🧐 This is how you do a perfect French ☺️ #nailsartvideos #asmr #tutorials #gelxnails #nailsart ",false,https://www.tiktok.com/@cilia.ghass/video/7580833199576681750,video,,5500000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
"Don’t talk to me about age 😳☠️ Hair transformation 🤩 Quick and effective hairstyle #asmr #straight #hair #curls #hairstyle ","Don’t talk to me about age 😳☠️ Hair transformation 🤩 Quick and effective hairstyle #asmr #straight #hair #curls #hairstyle ",false,https://www.tiktok.com/@cilia.ghass/video/7576001134280641814,video,,24200000,cilia.ghass,-,tiktok,,,false,,None,INIYA,None,,false
"Little relaxing & zen moment 🧘‍♀️ process 👹 result 🤩  #browlift #asmr #asmrsounds #zenvibes #tutorials ","Little relaxing & zen moment 🧘‍♀️ process 👹 result 🤩 
#browlift #asmr #asmrsounds #zenvibes #tutorials ",false,https://www.tiktok.com/@cilia.ghass/video/7572665975296904470,video,,5900000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
"That damn chewing gum fell again ☠️😳 I had to redo everything 😭 #hairstyle #lissage #indien #asmr #straight ","That damn chewing gum fell again ☠️😳 I had to redo everything 😭 #hairstyle #lissage #indien #asmr #straight ",false,https://www.tiktok.com/@cilia.ghass/video/7570456634246450454,video,,18700000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
"She wants the impossible again 😩👹  #impossible #drole #humour #slap #funy ","She wants the impossible again 😩👹 
#impossible #drole #humour #slap #funy ",false,https://www.tiktok.com/@cilia.ghass/video/7564857086849371414,video,,32400000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
"Omg even I was scared 😭☠️ but no worries when you’ve got the right tool 😳👌🏽 @SHEGLAM HAIR US @SHEGLAM  #SHEGLAM #SHEGLAMHAIR #sheglamantiburn  - collaboration commerciale  ","Omg even I was scared 😭☠️ but no worries when you’ve got the right tool 😳👌🏽 @SHEGLAM HAIR US @SHEGLAM 
#SHEGLAM #SHEGLAMHAIR #sheglamantiburn 

- collaboration commerciale  ",false,https://www.tiktok.com/@cilia.ghass/video/7562260463468252438,video,,27900000,cilia.ghass,"SHEGLAM ",tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"When your niece asks for free nails 👹 sure… no problem 😳 @kab #nails #nailsart #ongles #pose #gel ","When your niece asks for free nails 👹 sure… no problem 😳 @kab #nails #nailsart #ongles #pose #gel ",false,https://www.tiktok.com/@cilia.ghass/video/7560039607556001046,video,,16500000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
"OMG, it already has a scratch?! 👹 Unboxing iPhone 17 Pro Max #asmr #iphone #iphone17promax #silver ","OMG, it already has a scratch?! 👹 Unboxing iPhone 17 Pro Max #asmr #iphone #iphone17promax #silver ",false,https://www.tiktok.com/@cilia.ghass/video/7554856295690538262,video,,4800000,cilia.ghass,-,tiktok,,,false,,None,APPLE,None,,false
"I swear I tried to stay serious… but nope 😂 we’re so funny 🤡 @Sabrine #backstage #bob #humour #drole #funnytiktok ","I swear I tried to stay serious… but nope 😂 we’re so funny 🤡 @Sabrine #backstage #bob #humour #drole #funnytiktok ",false,https://www.tiktok.com/@cilia.ghass/video/7552234899231493398,video,,4200000,cilia.ghass,-,tiktok,,,false,,None,,None,,false
